section_id,s_node,e_node,length,max_speed
0,25034,26248,23.507,30
1,1,6531,7.693,50
2,432,28579,49.65899999999999,100
3,28579,34,13.702,100
4,18,31245,48.228,100
5,17,25329,20.16,100
6,16,4049,26.484,50
7,13,26214,20.16,100
8,29,16,25.955999999999996,50
9,25329,3,43.714,50
10,30,24,52.781,50
11,1,6630,226.86700000000002,100
12,25882,21534,226.86700000000002,100
13,21534,2252,25.861,50
14,20,38,8.41,50
15,38,20,237.15600000000006,40
16,18540,33,67.837,50
17,33,18540,12.228,50
18,21180,26136,32.999,50
19,26136,21180,30.719,50
20,1678,27126,111.737,50
21,50,5478,80.109,50
22,14660,21108,76.83500000000001,50
23,4136,65,31.457,100
24,65,4136,31.347,100
25,68,25160,59.668000000000006,100
26,25160,68,120.648,50
27,97,3579,105.339,100
28,32945,98,38.79600000000001,30
29,337,24689,25.742,50
30,5548,120,84.64099999999999,100
31,124,125,25.742,50
32,121,122,38.79600000000001,30
33,122,121,23.23,50
34,128,19135,158.211,50
35,19135,130,218.95800000000003,50
36,1158,0,23.23,50
37,20371,30886,34.795,50
38,30886,24030,218.95800000000003,50
39,54,151,59.96799999999999,50
40,84,34039,389.529,50
41,8,33336,73.374,100
42,157,158,59.32299999999999,50
43,158,159,52.244,30
44,159,26135,38.982,100
45,26135,160,52.244,30
46,160,161,67.515,50
47,162,27013,43.957,50
48,27013,162,8.995000000000001,30
49,2263,2285,8.995000000000001,30
50,2285,2290,95.173,50
51,2290,2259,36.596,50
52,19208,19212,66.816,100
53,19212,19210,25.499,100
54,175,176,54.33,50
55,176,175,10.506,50
56,14551,176,114.992,100
57,143,178,114.992,100
58,177,14560,358.66700000000003,40
59,2243,26548,79.559,100
60,26548,2243,95.378,50
61,193,188,41.127,50
62,188,193,87.96,50
63,3760,21154,185.973,50
64,197,6650,41.127,50
65,199,6193,95.37799999999999,50
66,21136,32540,87.96,50
67,32540,3253,8.828,50
68,3253,4182,88.876,50
69,2229,203,88.876,50
70,203,2229,86.614,50
71,203,204,24.304000000000002,50
72,10387,206,86.61399999999999,50
73,206,10387,8.828,50
74,265,31208,108.873,50
75,257,23225,24.304000000000002,50
76,213,214,55.394000000000005,50
77,238,20587,56.273,50
78,20587,238,76.631,100
79,20587,239,55.394000000000005,50
80,239,20587,78.162,50
81,8376,8375,78.162,50
82,8375,8376,56.435,50
83,235,16772,56.435,50
84,23247,19145,69.743,100
85,221,21567,76.77799999999999,50
86,21567,221,77.51,50
87,7357,16130,72.758,50
88,16130,7357,123.508,100
89,260,9866,108.21799999999999,50
90,9866,260,64.706,100
91,220,13471,45.226,100
92,13471,13483,46.479,50
93,13483,221,15.418,50
94,211,1135,33.707,50
95,1135,20118,46.479,50
96,13915,3621,69.061,50
97,3621,210,69.444,100
98,230,10021,39.305,50
99,10021,230,82.82,100
100,10021,10024,40.103,100
101,10024,10021,82.82,100
102,10024,231,15.673,50
103,231,10024,66.873,100
104,210,1134,175.42100000000002,50
105,1134,20116,55.992999999999995,50
106,484,233,65.913,100
107,233,6954,8.301,100
108,6954,234,223.643,50
109,6140,212,56.433,100
110,264,20430,61.084,100
111,20430,6140,23.073,50
112,212,498,65.094,100
113,498,2575,41.123,100
114,2575,496,90.832,50
115,263,2580,460.88899999999995,50
116,2580,22549,52.11500000000001,100
117,22549,497,17.243,100
118,497,264,73.786,50
119,14994,23761,460.88899999999995,50
120,25,26,16.003,50
121,267,23219,29.485,50
122,23219,20609,16.003,50
123,20609,10694,69.839,100
124,10694,268,38.905,100
125,272,274,5.817,100
126,275,26105,30.445,100
127,276,281,54.035,100
128,281,23594,108.21799999999999,50
129,23594,281,158.106,50
130,283,17741,158.106,50
131,17741,17740,158.106,50
132,17740,23600,81.388,100
133,23600,284,75.089,100
134,269,24027,75.729,100
135,24027,269,73.672,100
136,2195,2197,104.687,100
137,196,26025,45.275999999999996,100
138,26025,196,25.19,100
139,667,293,126.64599999999999,100
140,293,667,14.23,100
141,669,1940,14.701,30
142,1940,289,59.16,100
143,291,553,22.712,100
144,553,675,66.646,100
145,675,292,36.938,50
146,296,302,57.961,100
147,302,309,5.538,100
148,309,7246,86.07300000000001,100
149,7246,16569,86.07300000000001,100
150,16570,7245,53.355,100
151,7245,298,108.20100000000001,50
152,298,299,59.542,100
153,301,298,108.20100000000001,50
154,298,309,56.143,100
155,309,303,86.2,50
156,292,571,58.185,100
157,16567,16566,64.625,100
158,16566,16568,117.81400000000001,100
159,16568,16569,51.699000000000005,100
160,16569,29853,86.2,50
161,29853,16570,61.217,100
162,16570,23801,78.655,100
163,271,139,58.718,100
164,311,1650,68.699,100
165,1673,3763,65.208,100
166,3763,3761,118.55,100
167,3761,326,89.085,100
168,326,465,55.413,100
169,149,1680,109.101,100
170,330,14568,117.39699999999999,100
171,4125,4124,109.101,100
172,4124,4125,55.134,100
173,338,337,62.676,100
174,2318,26489,73.761,100
175,377,341,87.998,100
176,341,342,21.034,100
177,342,359,435.04999999999995,50
178,359,339,109.65,100
179,343,342,20.719,50
180,342,344,82.383,100
181,346,341,79.957,100
182,341,345,102.162,100
183,349,1649,118.98500000000001,100
184,359,360,61.855999999999995,100
185,363,364,146.74099999999999,50
186,365,363,32.635,100
187,363,365,70.809,50
188,348,1715,37.675000000000004,50
189,2868,355,126.53699999999999,50
190,386,387,14.949,100
191,2194,2195,44.882999999999996,100
192,348,349,118.33,30
193,406,404,14.949,100
194,414,12274,47.184999999999995,100
195,12274,414,92.628,100
196,414,413,92.275,30
197,413,31323,14.92,100
198,31323,16586,14.92,100
199,415,19670,86.673,100
200,420,419,292.16299999999995,100
201,422,19797,65.161,100
202,427,21811,109.824,100
203,21811,426,2234.9060000000004,70
204,429,430,16.5,50
205,430,2908,367.191,40
206,2908,448,907.7629999999998,50
207,448,4,20.719,50
208,25328,25327,13.805,40
209,25327,25328,907.7629999999998,50
210,129,1126,907.7629999999998,50
211,20273,436,80.421,50
212,436,20273,64.059,100
213,436,27149,1250.9890000000003,50
214,27149,436,70.858,100
215,16073,16072,70.858,100
216,439,428,64.474,50
217,428,439,82.619,50
218,430,2906,82.74199999999999,100
219,2906,445,105.772,50
220,453,456,82.74199999999999,100
221,456,4200,39.637,100
222,4200,6324,27.116,50
223,6324,452,247.558,100
224,455,454,96.18399999999998,50
225,454,456,247.558,100
226,456,6322,27.837,100
227,6322,1138,67.058,50
228,6326,24997,81.237,50
229,24997,457,127.357,50
230,6396,6437,76.33,100
231,6437,6396,10.297,100
232,464,25180,74.872,100
233,465,473,68.002,100
234,467,3625,33.944,50
235,3625,3626,90.431,100
236,151,471,10.385,50
237,471,473,59.078,100
238,476,20493,67.036,100
239,237,8399,19.51,50
240,8399,479,76.122,30
241,479,33819,71.676,30
242,33819,8404,84.44800000000001,100
243,479,482,84.44800000000001,100
244,482,480,25.773000000000003,100
245,8436,481,44.677,100
246,480,483,45.497,100
247,483,486,34.848,100
248,230,7383,109.065,50
249,3939,27880,17.716,100
250,27880,3939,98.988,100
251,27880,3943,160.03,50
252,3943,27880,77.087,100
253,2323,6137,204.08399999999997,50
254,6137,2323,11.19,100
255,4079,3945,34.716,100
256,499,2578,49.993,50
257,2578,27875,204.08399999999997,50
258,27875,4079,7.926,50
259,4079,500,338.001,50
260,500,501,45.868,50
261,501,20418,45.868,50
262,20418,6144,106.96900000000001,50
263,6144,6393,49.993,50
264,6393,502,106.96900000000001,50
265,502,32333,110.74199999999999,100
266,32333,32289,83.88999999999999,50
267,210,32335,7.926,50
268,507,20135,68.384,50
269,20135,507,11.668,50
270,20135,20136,61.783,50
271,20136,20135,94.37899999999999,50
272,20136,20126,27.169,50
273,20126,20136,74.86,50
274,20126,508,128.505,100
275,508,20126,119.69500000000001,100
276,508,509,80.971,50
277,509,508,27.169,50
278,509,507,94.37899999999999,50
279,507,509,44.717,50
280,20135,20421,128.505,100
281,20421,510,119.69500000000001,100
282,513,25047,35.807,50
283,25047,513,17.671,50
284,509,5999,99.587,100
285,8395,8393,25.367,100
286,8393,8395,23.465,50
287,4648,10325,91.33900000000001,50
288,10325,4648,25.773000000000003,100
289,931,932,147.75900000000001,100
290,535,1021,44.677,100
291,1021,535,45.497,100
292,1021,580,66.785,50
293,580,1021,34.848,100
294,580,575,17.716,100
295,575,580,46.39999999999999,100
296,537,589,46.39999999999999,100
297,538,654,70.325,100
298,654,538,21.159,100
299,539,540,91.72099999999999,100
300,540,541,64.658,50
301,546,545,98.816,50
302,549,1057,91.72099999999999,100
303,548,25488,98.816,50
304,25488,550,78.32900000000001,100
305,908,551,80.038,100
306,6758,9601,57.649,100
307,565,20632,142.142,100
308,566,30769,53.112,100
309,572,25567,384.43,70
310,579,578,79.80499999999999,100
311,288,292,17.397,50
312,297,588,6.067,100
313,588,583,76.761,100
314,583,582,95.97399999999999,100
315,586,25568,75.66,100
316,25568,585,90.204,30
317,589,590,78.885,100
318,6172,592,78.593,100
319,592,6172,64.495,100
320,21461,21462,10.401,50
321,594,595,74.92,30
322,595,633,66.858,50
323,633,596,118.52600000000001,50
324,596,593,55.554,100
325,19207,19209,8.188,100
326,599,600,96.497,100
327,859,16992,118.52600000000001,50
328,604,631,87.427,100
329,631,607,71.234,100
330,606,607,72.805,100
331,613,614,85.683,100
332,614,613,13.855,100
333,615,616,45.44,100
334,623,617,34.422,50
335,307,629,11.171,50
336,629,621,43.828,100
337,621,643,64.003,100
338,865,620,81.33,50
339,598,626,63.773,100
340,626,624,70.706,100
341,624,623,70.706,100
342,34350,626,157.18,100
343,626,625,75.126,50
344,628,629,67.091,50
345,632,615,91.25699999999999,50
346,633,634,38.705,100
347,634,635,74.079,100
348,635,638,14.11,100
349,640,641,159.795,100
350,641,642,10.406,100
351,644,645,92.711,100
352,645,21186,43.532,100
353,21186,595,84.157,100
354,595,21190,52.992,50
355,10086,594,48.121,50
356,538,10976,60.018,100
357,10976,651,94.355,100
358,658,657,93.063,100
359,657,656,61.423,100
360,656,655,75.954,100
361,665,664,318.268,100
362,664,663,11.901,100
363,663,20631,166.82,100
364,666,4924,63.627,100
365,672,27791,77.544,100
366,582,677,85.516,50
367,677,673,318.268,100
368,673,672,44.554,100
369,678,677,62.798,100
370,677,676,77.267,100
371,676,675,12.197,50
372,675,27150,64.911,100
373,3336,3507,101.247,100
374,3346,685,101.247,100
375,685,3360,35.054,100
376,688,34198,44.554,100
377,34198,3339,35.054,100
378,3691,690,62.944,100
379,693,6106,24.273,100
380,6106,692,242.803,100
381,682,6087,259.039,50
382,6087,686,92.729,100
383,698,697,242.803,100
384,697,10952,82.005,50
385,17260,701,283.34000000000003,40
386,706,33132,28.61,50
387,33132,706,28.61,50
388,24529,25044,14.979,50
389,19394,19403,10.164,50
390,718,719,14.979,50
391,719,718,59.344,100
392,720,721,5.622,50
393,721,720,29.814,50
394,722,723,65.103,100
395,723,722,85.705,100
396,723,724,74.469,100
397,724,723,5.622,50
398,723,725,29.814,50
399,725,723,115.61300000000001,50
400,725,14268,65.888,100
401,14268,725,55.493,100
402,725,33355,68.987,100
403,33355,725,77.834,100
404,1186,731,130.51500000000001,100
405,325,757,9.848,50
406,3458,3461,44.613,100
407,592,768,24.630000000000003,50
408,768,592,9.848,50
409,20356,28184,19.935,50
410,5,1,55.269,50
411,295,34320,31.341,100
412,34320,295,17.539,50
413,34320,23791,70.217,100
414,23791,34320,38.239,100
415,23791,5503,6.69,100
416,5503,23791,156.13799999999998,50
417,734,39,113.091,100
418,39,734,32.888,100
419,39,2233,22.381,100
420,7,34304,38.191,100
421,34304,6632,22.381,100
422,787,788,233.25900000000004,100
423,788,787,233.25900000000004,100
424,790,29011,28.649,50
425,29011,789,53.778,100
426,789,11459,53.778,100
427,11459,9526,64.527,100
428,6013,32197,64.527,100
429,797,17538,4.703,100
430,17538,797,28.383,50
431,808,810,14.979,50
432,811,812,27.66,50
433,1460,749,14.979,50
434,18064,18059,162.15200000000002,50
435,822,819,53.093,30
436,828,827,53.093,30
437,830,829,15.239,50
438,832,831,69.66,50
439,834,833,15.239,50
440,835,803,85.63600000000001,100
441,805,836,138.21900000000002,100
442,838,837,322.30400000000003,100
443,839,840,85.63600000000001,100
444,842,841,41.801,50
445,844,843,197.85200000000003,100
446,813,845,53.03,50
447,846,847,27.976999999999997,50
448,848,20176,40.193,50
449,34098,32829,70.383,100
450,32829,34098,70.383,100
451,32829,858,9.016,100
452,858,32829,353.409,100
453,16991,599,107.42999999999999,100
454,863,307,59.163,100
455,866,867,33.844,100
456,21370,26097,96.58,100
457,871,23676,81.13499999999999,100
458,23676,871,40.025,100
459,14625,872,188.592,100
460,880,875,35.808,100
461,875,880,14.551,50
462,885,886,11.593,50
463,23972,887,34.116,50
464,888,14625,51.417,100
465,888,918,51.417,100
466,918,23420,48.465999999999994,100
467,892,975,48.465999999999994,100
468,898,993,36.968,100
469,993,898,394.91299999999995,100
470,894,900,36.968,100
471,900,901,394.91299999999995,100
472,901,997,18.542,100
473,997,902,63.976,50
474,902,34409,125.067,50
475,903,982,110.42500000000001,50
476,982,904,84.84400000000001,100
477,904,1015,110.42500000000001,50
478,1015,985,150.57600000000002,100
479,905,970,421.2780000000001,30
480,970,906,13.115,50
481,906,939,52.617,50
482,939,942,75.069,50
483,942,956,27.976999999999997,50
484,956,20799,118.561,50
485,20799,907,80.756,50
486,914,915,96.101,50
487,915,914,66.097,50
488,915,888,99.427,50
489,888,915,65.216,50
490,915,916,115.462,50
491,916,915,9.505,50
492,882,920,80.476,50
493,920,1109,13.227,50
494,864,1060,13.227,50
495,1060,921,100.797,50
496,921,306,102.296,50
497,921,920,9.327,50
498,14628,21552,9.327,50
499,23418,551,48.346,50
500,551,926,70.971,100
501,927,23421,8.412,50
502,929,23423,17.016,100
503,930,954,24.598999999999997,100
504,954,941,56.294,50
505,23315,979,17.990000000000002,100
506,979,23315,58.482,50
