node,lng,lat
0,12.4629474,41.9023534
1,12.4648844,41.9007319
2,12.4665261,41.899504
3,12.4682661,41.8981764
4,12.4634563,41.901815
5,12.4642534,41.8997896
6,12.4711984,41.9032745
7,12.4625957,41.8996836
8,12.4638186,41.9015342
9,12.4669763,41.8991587
10,12.4648301,41.8998365
11,12.4722828,41.899188
12,12.467407,41.9005531
13,12.4667282,41.9012216
14,12.4666911,41.8986561
15,12.4652611,41.9004539
16,12.4684567,41.8991995
17,12.4695763,41.8988839
18,12.4722018,41.8977238
19,12.4727063,41.8971861
20,12.4733201,41.8966629
21,12.470083,41.897481
22,12.469375,41.8976474
23,12.4678088,41.8985211
24,12.4669717,41.8975097
25,12.4676135,41.8968207
26,12.4680257,41.8973594
27,12.4685882,41.8972997
28,12.4691615,41.8972576
29,12.4685087,41.8996385
30,12.4674291,41.8977784
31,12.4722498,41.8999531
32,12.472426,41.9001736
33,12.4726864,41.9004415
34,12.4659786,41.8969302
35,12.473814,41.9002227
36,12.4744851,41.8964807
37,12.4758502,41.8963102
38,12.4740314,41.8965258
39,12.4750898,41.9049233
40,12.4952304,41.902029
41,12.494543,41.9015887
42,12.4938275,41.9011203
43,12.4930978,41.9006435
44,12.492499,41.9002394
45,12.491662,41.8996964
46,12.4903418,41.8988284
47,12.4900226,41.8986141
48,12.4880626,41.8973291
49,12.4870163,41.8966625
50,12.4865373,41.9020905
51,12.4998175,41.9008288
52,12.499274,41.9003123
53,12.4980573,41.8992075
54,12.4974872,41.8986723
55,12.4960073,41.8973743
56,12.4932459,41.8946669
57,12.4921505,41.8943769
58,12.488026,41.8933604
59,12.4822238,41.8966841
60,12.4797832,41.9024786
61,12.4686787,41.8947883
62,12.4712895,41.892722
63,12.4721781,41.8921179
64,12.5123286,41.8998199
65,12.5082356,41.9005342
66,12.5079782,41.9010124
67,12.5074754,41.9019368
68,12.5070116,41.9027733
69,12.5068628,41.9038297
70,12.5054854,41.9062237
71,12.5046647,41.908063
72,12.3877738,41.8862126
73,12.3820563,41.8858835
74,12.3813578,41.8861071
75,12.3805504,41.8857439
