osmid,y,x,street_count,highway,geometry
25388130,41.9046697,12.4788676,2,,POINT (12.4788676 41.9046697)
25388195,41.8971861,12.4727063,3,,POINT (12.4727063 41.8971861)
25388197,41.8966629,12.4733201,3,,POINT (12.4733201 41.8966629)
25388289,41.9004415,12.4726864,3,,POINT (12.4726864 41.9004415)
25388377,41.9002227,12.473814,2,,POINT (12.473814 41.9002227)
25388387,41.8964807,12.4744851,3,,POINT (12.4744851 41.8964807)
25388389,41.8963102,12.4758502,3,,POINT (12.4758502 41.8963102)
25388404,41.8965258,12.4740314,3,,POINT (12.4740314 41.8965258)
25418716,41.9049233,12.4750898,5,,POINT (12.4750898 41.9049233)
25418882,41.902029,12.4952304,6,,POINT (12.4952304 41.902029)
25418884,41.9015887,12.494543,4,,POINT (12.494543 41.9015887)
25418885,41.9011203,12.4938275,4,,POINT (12.4938275 41.9011203)
25418886,41.9006435,12.4930978,4,,POINT (12.4930978 41.9006435)
25418887,41.9002394,12.492499,3,,POINT (12.492499 41.9002394)
25418888,41.8996964,12.491662,4,,POINT (12.491662 41.8996964)
25418889,41.8988284,12.4903418,4,,POINT (12.4903418 41.8988284)
25418891,41.8986141,12.4900226,3,,POINT (12.4900226 41.8986141)
25418895,41.8973291,12.4880626,4,,POINT (12.4880626 41.8973291)
25418897,41.8966625,12.4870163,4,,POINT (12.4870163 41.8966625)
25418915,41.9008288,12.4998175,3,traffic_signals,POINT (12.4998175 41.9008288)
25418916,41.9003165,12.4992668,4,traffic_signals,POINT (12.4992668 41.9003165)
25418918,41.8992075,12.4980573,4,traffic_signals,POINT (12.4980573 41.8992075)
25418919,41.8986723,12.4974872,5,,POINT (12.4974872 41.8986723)
25418922,41.8973743,12.4960073,4,,POINT (12.4960073 41.8973743)
25418929,41.8946669,12.4932459,3,,POINT (12.4932459 41.8946669)
25418933,41.8933059,12.4878737,1,,POINT (12.4878737 41.8933059)
25419073,41.8966841,12.4822238,5,,POINT (12.4822238 41.8966841)
25419086,41.9024786,12.4797832,3,,POINT (12.4797832 41.9024786)
25643495,41.8998199,12.5123286,4,,POINT (12.5123286 41.8998199)
25643607,41.9005342,12.5082356,3,,POINT (12.5082356 41.9005342)
25643610,41.9010124,12.5079782,3,,POINT (12.5079782 41.9010124)
25643620,41.9027733,12.5070116,4,traffic_signals,POINT (12.5070116 41.9027733)
25643633,41.9038302,12.5068594,3,,POINT (12.5068594 41.9038302)
25643643,41.9062237,12.5054854,4,traffic_signals,POINT (12.5054854 41.9062237)
25643645,41.908063,12.5046647,3,crossing,POINT (12.5046647 41.908063)
26618754,41.8922274,12.5154927,3,,POINT (12.5154927 41.8922274)
26618757,41.8922332,12.5148666,4,,POINT (12.5148666 41.8922332)
26618764,41.8919212,12.5159993,4,,POINT (12.5159993 41.8919212)
26619072,41.8928151,12.5132546,3,,POINT (12.5132546 41.8928151)
26619081,41.8942817,12.5108331,3,,POINT (12.5108331 41.8942817)
26619712,41.8966964,12.5107947,3,,POINT (12.5107947 41.8966964)
26619713,41.8971524,12.5103133,3,,POINT (12.5103133 41.8971524)
32629776,41.8962536,12.4725344,3,,POINT (12.4725344 41.8962536)
32630066,41.8871939,12.4822503,4,,POINT (12.4822503 41.8871939)
32630067,41.8862051,12.4835467,3,,POINT (12.4835467 41.8862051)
32630947,41.8966132,12.481922,5,,POINT (12.481922 41.8966132)
32630948,41.8962217,12.4826655,5,,POINT (12.4826655 41.8962217)
32630949,41.8954624,12.4835075,3,,POINT (12.4835075 41.8954624)
32630950,41.8955429,12.4825447,4,,POINT (12.4825447 41.8955429)
32630952,41.8949191,12.4820859,3,,POINT (12.4820859 41.8949191)
32630955,41.8941584,12.481958,3,,POINT (12.481958 41.8941584)
32630956,41.8940681,12.4814966,3,,POINT (12.4814966 41.8940681)
32630957,41.8941577,12.4813623,3,,POINT (12.4813623 41.8941577)
32630959,41.8948337,12.4810368,3,,POINT (12.4810368 41.8948337)
32630961,41.8952991,12.4817349,3,,POINT (12.4817349 41.8952991)
32631122,41.9011702,12.47658,2,,POINT (12.47658 41.9011702)
32632112,41.8903415,12.4744767,4,,POINT (12.4744767 41.8903415)
32633399,41.9019611,12.4985377,4,,POINT (12.4985377 41.9019611)
32633401,41.9027182,12.4965781,3,,POINT (12.4965781 41.9027182)
32633402,41.9035759,12.4960043,4,,POINT (12.4960043 41.9035759)
32633403,41.9038935,12.4956409,3,,POINT (12.4956409 41.9038935)
32633413,41.8994139,12.4969811,3,,POINT (12.4969811 41.8994139)
32641629,41.9046262,12.4967969,3,,POINT (12.4967969 41.9046262)
32641631,41.904441,12.4942491,3,,POINT (12.4942491 41.904441)
32641632,41.9051186,12.4930484,3,,POINT (12.4930484 41.9051186)
32641633,41.9058649,12.4909766,4,,POINT (12.4909766 41.9058649)
32641634,41.9054754,12.4903508,3,,POINT (12.4903508 41.9054754)
32641635,41.9053978,12.4902461,3,,POINT (12.4902461 41.9053978)
32641636,41.9049804,12.4897186,3,,POINT (12.4897186 41.9049804)
32641638,41.9041693,12.4887383,4,,POINT (12.4887383 41.9041693)
32641643,41.9057822,12.4886363,3,,POINT (12.4886363 41.9057822)
32641644,41.906392,12.4901881,3,,POINT (12.4901881 41.906392)
32641647,41.9081361,12.4892955,4,,POINT (12.4892955 41.9081361)
32641648,41.9091524,12.4885391,3,,POINT (12.4885391 41.9091524)
32641650,41.9093843,12.4885886,4,,POINT (12.4885886 41.9093843)
32641653,41.9096557,12.4899476,3,,POINT (12.4899476 41.9096557)
32649913,41.8902862,12.4747471,3,,POINT (12.4747471 41.8902862)
32649914,41.8894163,12.4746604,1,,POINT (12.4746604 41.8894163)
32649915,41.8893139,12.4759117,3,,POINT (12.4759117 41.8893139)
32649920,41.8939179,12.475237,3,,POINT (12.475237 41.8939179)
32650149,41.8880042,12.4811693,4,,POINT (12.4811693 41.8880042)
32650152,41.8908602,12.4779777,1,,POINT (12.4779777 41.8908602)
32650153,41.8913436,12.4785456,3,,POINT (12.4785456 41.8913436)
32650154,41.8918221,12.4755279,3,,POINT (12.4755279 41.8918221)
32650157,41.8906622,12.479418,3,,POINT (12.479418 41.8906622)
32650160,41.8895083,12.4801859,3,,POINT (12.4801859 41.8895083)
32650161,41.8897332,12.4766553,4,,POINT (12.4766553 41.8897332)
32650370,41.8882907,12.4748794,4,,POINT (12.4748794 41.8882907)
32650377,41.8888976,12.4755381,4,,POINT (12.4755381 41.8888976)
32650381,41.8908966,12.4805457,5,traffic_signals,POINT (12.4805457 41.8908966)
32650405,41.8881857,12.4832606,4,,POINT (12.4832606 41.8881857)
32650585,41.8996171,12.4828423,4,,POINT (12.4828423 41.8996171)
32650609,41.9065435,12.4812079,3,,POINT (12.4812079 41.9065435)
32650951,41.889422,12.4775826,4,,POINT (12.4775826 41.889422)
32651016,41.9034322,12.4881602,5,,POINT (12.4881602 41.9034322)
32651021,41.8977043,12.4994301,3,,POINT (12.4994301 41.8977043)
32653248,41.9051335,12.4770032,3,,POINT (12.4770032 41.9051335)
32653252,41.9064859,12.4771667,3,,POINT (12.4771667 41.9064859)
51231991,41.8899577,12.4939955,3,,POINT (12.4939955 41.8899577)
51231993,41.8892664,12.49344,4,,POINT (12.49344 41.8892664)
83506907,41.8937504,12.4818323,3,crossing,POINT (12.4818323 41.8937504)
83511436,41.8886438,12.4804499,3,,POINT (12.4804499 41.8886438)
83648548,41.8917755,12.4774828,3,,POINT (12.4774828 41.8917755)
83649294,41.8923658,12.4774514,3,,POINT (12.4774514 41.8923658)
83649295,41.8926914,12.4765508,3,,POINT (12.4765508 41.8926914)
83649359,41.8918777,12.4764901,3,,POINT (12.4764901 41.8918777)
83649810,41.8936201,12.4757088,3,,POINT (12.4757088 41.8936201)
83650212,41.892257,12.4755638,4,,POINT (12.4755638 41.892257)
83650214,41.8928542,12.4751324,4,traffic_signals,POINT (12.4751324 41.8928542)
83650350,41.8921731,12.4763485,3,,POINT (12.4763485 41.8921731)
83650446,41.8923732,12.4748732,3,,POINT (12.4748732 41.8923732)
83661864,41.9072608,12.4732515,3,,POINT (12.4732515 41.9072608)
83661869,41.9050467,12.473333,4,,POINT (12.473333 41.9050467)
83663257,41.9076901,12.4722852,3,,POINT (12.4722852 41.9076901)
83705374,41.9067057,12.4722455,4,,POINT (12.4722455 41.9067057)
93810149,41.8900054,12.4969695,3,,POINT (12.4969695 41.8900054)
93810152,41.8870807,12.5046256,6,,POINT (12.5046256 41.8870807)
93810154,41.8870216,12.5063018,3,,POINT (12.5063018 41.8870216)
93810163,41.8867148,12.5086144,3,,POINT (12.5086144 41.8867148)
93810167,41.8872264,12.5150391,4,,POINT (12.5150391 41.8872264)
93810168,41.8879387,12.5180619,3,traffic_signals,POINT (12.5180619 41.8879387)
93834310,41.9005273,12.4962519,4,,POINT (12.4962519 41.9005273)
93834314,41.9053842,12.4985698,3,,POINT (12.4985698 41.9053842)
93834317,41.9042089,12.4999939,4,,POINT (12.4999939 41.9042089)
93834323,41.9031455,12.5002208,3,,POINT (12.5002208 41.9031455)
101002430,41.8848971,12.4891936,4,,POINT (12.4891936 41.8848971)
101005837,41.8897416,12.4954411,3,,POINT (12.4954411 41.8897416)
101005848,41.8893366,12.4967729,5,,POINT (12.4967729 41.8893366)
101007848,41.8882839,12.4949366,4,,POINT (12.4949366 41.8882839)
101007852,41.8888021,12.4951178,4,,POINT (12.4951178 41.8888021)
101007857,41.8890725,12.4937147,4,,POINT (12.4937147 41.8890725)
101007861,41.8885198,12.4964896,4,,POINT (12.4964896 41.8885198)
101007862,41.8880152,12.4963225,4,,POINT (12.4963225 41.8880152)
101007867,41.8884549,12.4940146,3,,POINT (12.4940146 41.8884549)
101010992,41.889721,12.4983846,4,,POINT (12.4983846 41.889721)
101011000,41.88751,12.4961537,4,,POINT (12.4961537 41.88751)
101015318,41.8872789,12.4974414,3,,POINT (12.4974414 41.8872789)
101015321,41.888156,12.4977503,1,,POINT (12.4977503 41.888156)
101047788,41.8891593,12.4929289,3,,POINT (12.4929289 41.8891593)
101049057,41.8892523,12.4952738,4,,POINT (12.4952738 41.8892523)
101049059,41.8889954,12.4966494,4,,POINT (12.4966494 41.8889954)
101049065,41.8872325,12.5023137,3,,POINT (12.5023137 41.8872325)
101049079,41.8887223,12.497963,4,,POINT (12.497963 41.8887223)
101172811,41.8872756,12.5033048,3,,POINT (12.5033048 41.8872756)
101172843,41.8877768,12.4947632,3,,POINT (12.4947632 41.8877768)
101173265,41.8861566,12.4951668,3,,POINT (12.4951668 41.8861566)
101173598,41.8878649,12.4943104,3,,POINT (12.4943104 41.8878649)
101181764,41.8973877,12.5195579,3,,POINT (12.5195579 41.8973877)
101181779,41.899907,12.5172249,3,,POINT (12.5172249 41.899907)
101181804,41.9019099,12.5183645,3,,POINT (12.5183645 41.9019099)
102413401,41.8872326,12.4976993,1,,POINT (12.4976993 41.8872326)
122568065,41.9021943,12.5062512,3,,POINT (12.5062512 41.9021943)
122568168,41.9041514,12.5027481,3,,POINT (12.5027481 41.9041514)
122568170,41.9017639,12.5056938,3,,POINT (12.5056938 41.9017639)
122568410,41.9027561,12.5055222,4,,POINT (12.5055222 41.9027561)
122568411,41.9032898,12.5062854,3,,POINT (12.5062854 41.9032898)
122568413,41.9023712,12.5049506,4,,POINT (12.5049506 41.9023712)
122568601,41.908414,12.4999828,3,,POINT (12.4999828 41.908414)
122568740,41.9078749,12.4992168,3,traffic_signals,POINT (12.4992168 41.9078749)
122569229,41.9034916,12.5008945,4,,POINT (12.5008945 41.9034916)
122569236,41.9009398,12.50466,3,,POINT (12.50466 41.9009398)
122569744,41.9068441,12.5019145,4,,POINT (12.5019145 41.9068441)
122569750,41.9062854,12.5011761,4,,POINT (12.5011761 41.9062854)
122570350,41.9013429,12.4975681,3,,POINT (12.4975681 41.9013429)
122570601,41.9009055,12.4968766,3,,POINT (12.4968766 41.9009055)
122570605,41.8954187,12.5059992,3,,POINT (12.5059992 41.8954187)
122571136,41.8932296,12.5098054,4,,POINT (12.5098054 41.8932296)
122571137,41.8943652,12.5063171,3,traffic_signals,POINT (12.5063171 41.8943652)
122571141,41.8973189,12.5012328,3,,POINT (12.5012328 41.8973189)
122571142,41.899712,12.4972223,3,,POINT (12.4972223 41.899712)
122571273,41.8971714,12.4948943,4,,POINT (12.4948943 41.8971714)
122571276,41.9002987,12.4978702,4,,POINT (12.4978702 41.9002987)
153325472,41.9098957,12.4730476,4,,POINT (12.4730476 41.9098957)
166217947,41.9048992,12.4754432,4,,POINT (12.4754432 41.9048992)
195385303,41.9099814,12.4733736,3,,POINT (12.4733736 41.9099814)
220736368,41.890991,12.5153644,5,,POINT (12.5153644 41.890991)
242161425,41.9015209,12.5037255,3,,POINT (12.5037255 41.9015209)
242161428,41.9048356,12.4992237,4,,POINT (12.4992237 41.9048356)
242161441,41.9021928,12.4982103,4,,POINT (12.4982103 41.9021928)
245963581,41.8864666,12.508073,3,,POINT (12.508073 41.8864666)
245963751,41.8873099,12.5054563,4,,POINT (12.5054563 41.8873099)
246062656,41.8906652,12.5203984,3,,POINT (12.5203984 41.8906652)
246073361,41.8855104,12.5102235,3,,POINT (12.5102235 41.8855104)
246073526,41.8853672,12.5152814,3,,POINT (12.5152814 41.8853672)
246073528,41.8863356,12.5153265,4,,POINT (12.5153265 41.8863356)
246073937,41.8851879,12.5141683,3,,POINT (12.5141683 41.8851879)
246111803,41.8859232,12.5128038,3,,POINT (12.5128038 41.8859232)
246111804,41.8866973,12.5125455,3,,POINT (12.5125455 41.8866973)
246113348,41.8853915,12.509963,4,,POINT (12.509963 41.8853915)
246117196,41.8864088,12.5113623,3,,POINT (12.5113623 41.8864088)
246117411,41.8861161,12.5094047,5,,POINT (12.5094047 41.8861161)
246117642,41.8851116,12.511207,3,,POINT (12.511207 41.8851116)
246117805,41.8852593,12.511426,3,,POINT (12.511426 41.8852593)
246118321,41.8851021,12.5121287,3,,POINT (12.5121287 41.8851021)
246118759,41.8880976,12.5079049,4,,POINT (12.5079049 41.8880976)
246118760,41.8903662,12.5067111,5,,POINT (12.5067111 41.8903662)
246123280,41.886911,12.5189838,4,,POINT (12.5189838 41.886911)
246123381,41.8871238,12.5204344,3,,POINT (12.5204344 41.8871238)
246123487,41.8860151,12.5201688,4,,POINT (12.5201688 41.8860151)
246123651,41.8861618,12.5174464,3,,POINT (12.5174464 41.8861618)
246123746,41.8860839,12.5188474,4,,POINT (12.5188474 41.8860839)
246123975,41.8852539,12.517363,4,,POINT (12.517363 41.8852539)
246123976,41.8851863,12.518713,4,,POINT (12.518713 41.8851863)
246123977,41.8851103,12.5200937,4,,POINT (12.5200937 41.8851103)
246124795,41.8860492,12.5195351,3,,POINT (12.5195351 41.8860492)
246124838,41.8851408,12.5194564,4,,POINT (12.5194564 41.8851408)
246130344,41.8856197,12.5029028,3,,POINT (12.5029028 41.8856197)
246130345,41.8863888,12.5039763,3,,POINT (12.5039763 41.8863888)
246130408,41.8868362,12.5045127,3,crossing,POINT (12.5045127 41.8868362)
246130410,41.8870175,12.5049536,3,,POINT (12.5049536 41.8870175)
246133380,41.8877285,12.5069239,3,,POINT (12.5069239 41.8877285)
246137471,41.8877907,12.4976161,3,,POINT (12.4976161 41.8877907)
246138850,41.8899744,12.4971425,4,,POINT (12.4971425 41.8899744)
246139718,41.8913168,12.4929734,3,,POINT (12.4929734 41.8913168)
246139719,41.8914364,12.4922721,3,,POINT (12.4922721 41.8914364)
246140935,41.8901637,12.4942515,3,,POINT (12.4942515 41.8901637)
246141797,41.8941888,12.492085,1,,POINT (12.492085 41.8941888)
246142109,41.8941007,12.4910066,4,,POINT (12.4910066 41.8941007)
246144858,41.8926775,12.4929213,3,,POINT (12.4929213 41.8926775)
246144912,41.8923166,12.4934427,3,,POINT (12.4934427 41.8923166)
246144918,41.8935362,12.4973971,4,,POINT (12.4973971 41.8935362)
246145164,41.8943912,12.4987392,3,,POINT (12.4987392 41.8943912)
246146288,41.8950163,12.49968,3,,POINT (12.49968 41.8950163)
246147146,41.8919729,12.4994636,4,,POINT (12.4994636 41.8919729)
246147347,41.8935265,12.5010694,4,,POINT (12.5010694 41.8935265)
246147348,41.8908328,12.4983107,3,,POINT (12.4983107 41.8908328)
246147609,41.8968725,12.4991411,3,,POINT (12.4991411 41.8968725)
246147610,41.8950046,12.5002442,4,traffic_signals,POINT (12.5002442 41.8950046)
246147726,41.8950387,12.4972278,4,,POINT (12.4972278 41.8950387)
246147728,41.8947776,12.493701,3,,POINT (12.493701 41.8947776)
246147950,41.8948258,12.5023479,4,,POINT (12.5023479 41.8948258)
246148613,41.8962858,12.4901695,4,,POINT (12.4901695 41.8962858)
