osmid,y,x,street_count,highway,ref,geometry
21637960,41.7021062,12.3483365,3,,,POINT (12.3483365 41.7021062)
21638011,41.7337426,12.264032,3,,,POINT (12.264032 41.7337426)
21638013,41.7322567,12.2686838,3,,,POINT (12.2686838 41.7322567)
21638030,41.7267575,12.2857285,3,,,POINT (12.2857285 41.7267575)
21638034,41.724389,12.2930693,4,,,POINT (12.2930693 41.724389)
21638035,41.72378,12.295012,3,,,POINT (12.295012 41.72378)
21638038,41.7230444,12.2968851,4,,,POINT (12.2968851 41.7230444)
21638410,41.714662,12.3171989,3,,,POINT (12.3171989 41.714662)
21638444,41.7120237,12.322977,3,,,POINT (12.322977 41.7120237)
25388116,41.9023645,12.4629478,3,,,POINT (12.4629478 41.9023645)
25388118,41.9007319,12.4648844,4,,,POINT (12.4648844 41.9007319)
25388119,41.899504,12.4665261,3,traffic_signals,,POINT (12.4665261 41.899504)
25388130,41.9046697,12.4788676,2,,,POINT (12.4788676 41.9046697)
25388135,41.901815,12.4634563,4,,,POINT (12.4634563 41.901815)
25388138,41.8997896,12.4642534,4,,,POINT (12.4642534 41.8997896)
25388157,41.8996836,12.4625957,4,,,POINT (12.4625957 41.8996836)
25388160,41.9015342,12.4638186,4,,,POINT (12.4638186 41.9015342)
25388174,41.9005531,12.467407,3,,,POINT (12.467407 41.9005531)
25388175,41.9012216,12.4667282,3,,,POINT (12.4667282 41.9012216)
25388177,41.8986561,12.4666911,3,,,POINT (12.4666911 41.8986561)
25388179,41.9004539,12.4652611,3,,,POINT (12.4652611 41.9004539)
25388184,41.8991995,12.4684567,3,,,POINT (12.4684567 41.8991995)
25388187,41.8988839,12.4695763,3,,,POINT (12.4695763 41.8988839)
25388192,41.8977238,12.4722018,3,,,POINT (12.4722018 41.8977238)
25388195,41.8971861,12.4727063,3,,,POINT (12.4727063 41.8971861)
25388197,41.8966629,12.4733201,3,,,POINT (12.4733201 41.8966629)
25388198,41.897481,12.470083,4,,,POINT (12.470083 41.897481)
25388200,41.8976474,12.469375,4,,,POINT (12.469375 41.8976474)
25388259,41.8975097,12.4669717,3,,,POINT (12.4669717 41.8975097)
25388260,41.8968207,12.4676135,3,,,POINT (12.4676135 41.8968207)
25388261,41.8973594,12.4680257,5,,,POINT (12.4680257 41.8973594)
25388262,41.8972997,12.4685882,3,,,POINT (12.4685882 41.8972997)
25388263,41.8972576,12.4691615,3,,,POINT (12.4691615 41.8972576)
25388284,41.8977784,12.4674291,3,,,POINT (12.4674291 41.8977784)
25388289,41.9004415,12.4726864,3,,,POINT (12.4726864 41.9004415)
25388377,41.9002227,12.473814,2,,,POINT (12.473814 41.9002227)
25388387,41.8964807,12.4744851,3,,,POINT (12.4744851 41.8964807)
25388389,41.8963102,12.4758502,3,,,POINT (12.4758502 41.8963102)
25388404,41.8965258,12.4740314,3,,,POINT (12.4740314 41.8965258)
25418716,41.9049233,12.4750898,5,,,POINT (12.4750898 41.9049233)
25418882,41.902029,12.4952304,6,,,POINT (12.4952304 41.902029)
25418884,41.9015887,12.494543,4,,,POINT (12.494543 41.9015887)
25418885,41.9011203,12.4938275,4,,,POINT (12.4938275 41.9011203)
25418886,41.9006435,12.4930978,4,,,POINT (12.4930978 41.9006435)
25418887,41.9002394,12.492499,3,,,POINT (12.492499 41.9002394)
25418888,41.8996964,12.491662,4,,,POINT (12.491662 41.8996964)
25418889,41.8988284,12.4903418,4,,,POINT (12.4903418 41.8988284)
25418891,41.8986141,12.4900226,3,,,POINT (12.4900226 41.8986141)
25418895,41.8973291,12.4880626,4,,,POINT (12.4880626 41.8973291)
25418897,41.8966625,12.4870163,4,,,POINT (12.4870163 41.8966625)
25418915,41.9008288,12.4998175,3,traffic_signals,,POINT (12.4998175 41.9008288)
25418916,41.9003165,12.4992668,4,traffic_signals,,POINT (12.4992668 41.9003165)
25418918,41.8992075,12.4980573,4,traffic_signals,,POINT (12.4980573 41.8992075)
25418919,41.8986723,12.4974872,5,,,POINT (12.4974872 41.8986723)
25418922,41.8973743,12.4960073,4,,,POINT (12.4960073 41.8973743)
25418929,41.8946669,12.4932459,3,,,POINT (12.4932459 41.8946669)
25418933,41.8933059,12.4878737,1,,,POINT (12.4878737 41.8933059)
25419073,41.8966841,12.4822238,5,,,POINT (12.4822238 41.8966841)
25419086,41.9024786,12.4797832,3,,,POINT (12.4797832 41.9024786)
25419840,41.8947883,12.4686787,3,,,POINT (12.4686787 41.8947883)
25419842,41.892722,12.4712895,3,,,POINT (12.4712895 41.892722)
25419843,41.8921179,12.4721781,3,,,POINT (12.4721781 41.8921179)
25643495,41.8998199,12.5123286,4,,,POINT (12.5123286 41.8998199)
25643607,41.9005342,12.5082356,3,,,POINT (12.5082356 41.9005342)
25643610,41.9010124,12.5079782,3,,,POINT (12.5079782 41.9010124)
25643620,41.9027733,12.5070116,4,traffic_signals,,POINT (12.5070116 41.9027733)
25643633,41.9038302,12.5068594,3,,,POINT (12.5068594 41.9038302)
25643643,41.9062237,12.5054854,4,traffic_signals,,POINT (12.5054854 41.9062237)
25643645,41.908063,12.5046647,3,crossing,,POINT (12.5046647 41.908063)
26496101,41.8862126,12.3877738,3,,,POINT (12.3877738 41.8862126)
26496159,41.8858835,12.3820563,3,,,POINT (12.3820563 41.8858835)
26496616,41.8928224,12.4145024,3,,,POINT (12.4145024 41.8928224)
26496651,41.8839617,12.3806109,3,,,POINT (12.3806109 41.8839617)
26496657,41.8774539,12.3792649,3,,,POINT (12.3792649 41.8774539)
26496718,41.8069885,12.4220873,3,,,POINT (12.4220873 41.8069885)
26496730,41.8014356,12.4485096,3,,,POINT (12.4485096 41.8014356)
26496763,41.811156,12.5697589,3,,,POINT (12.5697589 41.811156)
26496800,41.8620476,12.6001023,3,motorway_junction,18,POINT (12.6001023 41.8620476)
26617509,41.8653294,12.6011423,3,,,POINT (12.6011423 41.8653294)
26617536,41.8687602,12.5864253,3,,,POINT (12.5864253 41.8687602)
26618020,41.8771131,12.5521472,3,,,POINT (12.5521472 41.8771131)
26618050,41.8788979,12.5453277,3,,,POINT (12.5453277 41.8788979)
26618108,41.8868306,12.526805,3,,,POINT (12.526805 41.8868306)
26618754,41.8922274,12.5154927,3,,,POINT (12.5154927 41.8922274)
26618757,41.8922332,12.5148666,4,,,POINT (12.5148666 41.8922332)
26618764,41.8919212,12.5159993,4,,,POINT (12.5159993 41.8919212)
26619072,41.8928151,12.5132546,3,,,POINT (12.5132546 41.8928151)
