,u,v,maxspeed,length,s_lat,s_lng,e_lat,e_lng
0,1,9087,65.0,3572.628,-122.390985,37.7859523,-122.3646896,37.8104574
1,2,7552,65.0,333.165,-122.4241236,37.7313533,-122.4203647,37.7316169
2,2,9487,65.0,794.493,-122.4241236,37.7313533,-122.415164,37.7320411
3,3,4764,65.0,1196.6650000000004,-122.4132611,37.7327065,-122.4015296,37.7379996
4,3,7877,65.0,1176.4899999999998,-122.4132611,37.7327065,-122.4076986,37.740917
5,4,8358,45.0,20.33,-122.4034504,37.8050417,-122.4036563,37.8049634
6,4,9675,45.0,12.52,-122.4034504,37.8050417,-122.4033518,37.805123
7,4,9664,65.0,30.790999999999997,-122.4034504,37.8050417,-122.4031918,37.8048548
8,5,761,45.0,75.108,-122.4164837,37.7990541,-122.417328,37.7989484
9,6,8,45.0,101.12,-122.3911917,37.7705805,-122.3911048,37.7696737
10,6,7560,45.0,46.646,-122.3911917,37.7705805,-122.3912318,37.7709988
11,6,7363,45.0,141.32099999999997,-122.3911917,37.7705805,-122.3895885,37.7706766
12,7,8,45.0,146.52,-122.3927659,37.7695721,-122.3911048,37.7696737
13,7,8354,35.0,146.56900000000002,-122.3927659,37.7695721,-122.3944287,37.7694731
14,7,7946,35.0,101.335,-122.3927659,37.7695721,-122.3928533,37.7704808
15,8,7,45.0,146.52,-122.3911048,37.7696737,-122.3927659,37.7695721
16,8,7434,45.0,212.056,-122.3911048,37.7696737,-122.3909224,37.7677721
17,8,6,45.0,101.12,-122.3911048,37.7696737,-122.3911917,37.7705805
18,8,9480,45.0,141.306,-122.3911048,37.7696737,-122.3895013,37.7697631
19,9,7364,45.0,19.164,-122.3894111,37.7711091,-122.3896285,37.771096
20,9,7459,65.0,100.75399999999999,-122.3894111,37.7711091,-122.3895081,37.7720119
21,10,7456,45.0,108.45400000000001,-122.3866019,37.771278,-122.3878323,37.7712048
22,10,7458,45.0,104.625,-122.3866019,37.771278,-122.3869899,37.7721675
23,10,11,45.0,47.538000000000004,-122.3866019,37.771278,-122.3864767,37.7708625
24,11,10,45.0,47.538,-122.3864767,37.7708625,-122.3866019,37.771278
25,11,12,45.0,205.42700000000002,-122.3864767,37.7708625,-122.3863311,37.7690188
26,12,13,45.0,113.397,-122.3863311,37.7690188,-122.3876163,37.7689303
27,12,11,45.0,205.427,-122.3863311,37.7690188,-122.3864767,37.7708625
28,12,8589,45.0,213.01500000000001,-122.3863311,37.7690188,-122.3861439,37.7671089
29,13,12,45.0,113.397,-122.3876163,37.7689303,-122.3863311,37.7690188
30,13,157,45.0,206.746,-122.3876163,37.7689303,-122.387792,37.7707844
31,13,7460,45.0,138.801,-122.3876163,37.7689303,-122.3891909,37.768836
32,14,15,45.0,147.026,-122.4118788,37.8053702,-122.413529,37.8051503
33,14,1355,45.0,52.16100000000001,-122.4118788,37.8053702,-122.4119718,37.8058335
34,14,2013,45.0,53.63,-122.4118788,37.8053702,-122.4117828,37.8048939
35,15,1356,45.0,53.765,-122.413529,37.8051503,-122.4136195,37.8056285
36,15,2014,45.0,52.592,-122.413529,37.8051503,-122.4134294,37.804684
37,16,17,45.0,74.131,-122.386139,37.723583,-122.386628,37.72304
38,17,16,45.0,74.131,-122.386628,37.72304,-122.386139,37.723583
39,17,798,45.0,204.35,-122.386628,37.72304,-122.388515,37.7241122
40,17,7930,45.0,127.971,-122.386628,37.72304,-122.3854326,37.7223841
41,18,801,45.0,191.95000000000002,-122.388419,37.7212302,-122.3901961,37.7222322
42,19,802,45.0,280.743,-122.3894613,37.7199375,-122.3907642,37.7216048
43,19,803,45.0,200.52700000000002,-122.3894613,37.7199375,-122.3913223,37.7209788
44,19,20,45.0,86.43900000000001,-122.3894613,37.7199375,-122.39002,37.719298
45,19,5400,45.0,40.42,-122.3894613,37.7199375,-122.3891202,37.7196961
46,20,2324,45.0,341.215,-122.39002,37.719298,-122.3868718,37.7175052
47,20,804,45.0,200.342,-122.39002,37.719298,-122.39187,37.720349
48,20,19,45.0,86.43900000000001,-122.39002,37.719298,-122.3894613,37.7199375
49,20,21,45.0,83.00999999999999,-122.39002,37.719298,-122.390564,37.718688
50,21,805,45.0,200.69099999999997,-122.390564,37.718688,-122.392418,37.71974
51,21,22,45.0,86.00200000000001,-122.390564,37.718688,-122.391135,37.7180602
52,21,20,45.0,83.00999999999999,-122.390564,37.718688,-122.39002,37.719298
53,21,6491,45.0,62.947,-122.390564,37.718688,-122.3900046,37.7183391
54,22,7715,45.0,66.131,-122.391135,37.7180602,-122.3915575,37.7175683
55,22,21,45.0,86.00200000000001,-122.391135,37.7180602,-122.390564,37.718688
56,22,1793,45.0,100.15,-122.391135,37.7180602,-122.3920565,37.7185891
57,22,2595,45.0,203.572,-122.391135,37.7180602,-122.3892847,37.7169629
58,23,7715,45.0,6.946,-122.391593,37.7175125,-122.3915575,37.7175683
59,23,60,45.0,207.24,-122.391593,37.7175125,-122.3900339,37.7161347
60,23,61,45.0,87.99,-122.391593,37.7175125,-122.3924653,37.7178997
61,23,9181,45.0,75.031,-122.391593,37.7175125,-122.3920687,37.7169524
62,24,25,45.0,85.462,-122.381564,37.728678,-122.382126,37.728051
63,24,789,45.0,202.12000000000003,-122.381564,37.728678,-122.383431,37.729738
64,24,6349,45.0,166.612,-122.381564,37.728678,-122.3800251,37.7278041
65,25,26,45.0,85.321,-122.382126,37.728051,-122.382687,37.727425
66,25,24,45.0,85.462,-122.382126,37.728051,-122.381564,37.728678
67,25,790,45.0,202.256,-122.382126,37.728051,-122.383994,37.729112
68,25,2226,45.0,44.759,-122.382126,37.728051,-122.3817151,37.7278135
69,26,27,45.0,85.411,-122.382687,37.727425,-122.383248,37.726798
70,26,25,45.0,85.321,-122.382687,37.727425,-122.382126,37.728051
71,26,791,45.0,202.329,-122.382687,37.727425,-122.384556,37.728486
72,26,4103,45.0,34.418,-122.382687,37.727425,-122.3823643,37.7272499
73,27,28,45.0,85.46300000000001,-122.383248,37.726798,-122.38381,37.726171
74,27,26,45.0,85.411,-122.383248,37.726798,-122.382687,37.727425
75,27,792,45.0,202.539,-122.383248,37.726798,-122.385119,37.72786
76,27,5945,45.0,202.54,-122.383248,37.726798,-122.381377,37.725736
77,28,27,45.0,85.46300000000001,-122.38381,37.726171,-122.383248,37.726798
78,28,1259,45.0,202.607,-122.38381,37.726171,-122.381939,37.725108
79,28,793,45.0,202.611,-122.38381,37.726171,-122.385682,37.727233
80,29,795,45.0,184.47299999999998,-122.3851264,37.7250218,-122.386828,37.7259918
81,30,31,45.0,84.771,-122.3770005,37.7335986,-122.377649,37.73307
82,30,9450,45.0,120.934,-122.3770005,37.7335986,-122.3767498,37.732577
83,30,5859,45.0,86.343,-122.3770005,37.7335986,-122.3769005,37.7343709
84,31,5044,45.0,76.302,-122.377649,37.73307,-122.378354,37.73347
85,31,30,45.0,84.771,-122.377649,37.73307,-122.3770005,37.7335986
86,31,9450,45.0,96.247,-122.377649,37.73307,-122.3767498,37.732577
87,32,8635,45.0,154.304,-122.4687333,37.752212,-122.4690369,37.7509076
