,u,v,maxspeed,length
0,1,9087,65.0,3572.628
1,2,7552,65.0,333.165
2,2,9487,65.0,794.493
3,3,4764,65.0,1196.6650000000004
4,3,7877,65.0,1176.4899999999998
5,4,8358,45.0,20.33
6,4,9675,45.0,12.52
7,4,9664,65.0,30.790999999999997
8,5,761,45.0,75.108
9,6,8,45.0,101.12
10,6,7560,45.0,46.646
11,6,7363,45.0,141.32099999999997
12,7,8,45.0,146.52
13,7,8354,35.0,146.56900000000002
14,7,7946,35.0,101.335
15,8,7,45.0,146.52
16,8,7434,45.0,212.056
17,8,6,45.0,101.12
18,8,9480,45.0,141.306
19,9,7364,45.0,19.164
20,9,7459,65.0,100.75399999999999
21,10,7456,45.0,108.45400000000001
22,10,7458,45.0,104.625
23,10,11,45.0,47.538000000000004
24,11,10,45.0,47.538
25,11,12,45.0,205.42700000000002
26,12,13,45.0,113.397
27,12,11,45.0,205.427
28,12,8589,45.0,213.01500000000001
29,13,12,45.0,113.397
30,13,157,45.0,206.746
31,13,7460,45.0,138.801
32,14,15,45.0,147.026
33,14,1355,45.0,52.16100000000001
34,14,2013,45.0,53.63
35,15,1356,45.0,53.765
36,15,2014,45.0,52.592
37,16,17,45.0,74.131
38,17,16,45.0,74.131
39,17,798,45.0,204.35
40,17,7930,45.0,127.971
41,18,801,45.0,191.95000000000002
42,19,802,45.0,280.743
43,19,803,45.0,200.52700000000002
44,19,20,45.0,86.43900000000001
45,19,5400,45.0,40.42
46,20,2324,45.0,341.215
47,20,804,45.0,200.342
48,20,19,45.0,86.43900000000001
49,20,21,45.0,83.00999999999999
50,21,805,45.0,200.69099999999997
51,21,22,45.0,86.00200000000001
52,21,20,45.0,83.00999999999999
53,21,6491,45.0,62.947
54,22,7715,45.0,66.131
55,22,21,45.0,86.00200000000001
56,22,1793,45.0,100.15
57,22,2595,45.0,203.572
58,23,7715,45.0,6.946
59,23,60,45.0,207.24
60,23,61,45.0,87.99
61,23,9181,45.0,75.031
62,24,25,45.0,85.462
63,24,789,45.0,202.12000000000003
64,24,6349,45.0,166.612
65,25,26,45.0,85.321
66,25,24,45.0,85.462
67,25,790,45.0,202.256
68,25,2226,45.0,44.759
69,26,27,45.0,85.411
70,26,25,45.0,85.321
71,26,791,45.0,202.329
72,26,4103,45.0,34.418
73,27,28,45.0,85.46300000000001
74,27,26,45.0,85.411
75,27,792,45.0,202.539
76,27,5945,45.0,202.54
77,28,27,45.0,85.46300000000001
78,28,1259,45.0,202.607
79,28,793,45.0,202.611
80,29,795,45.0,184.47299999999998
81,30,31,45.0,84.771
82,30,9450,45.0,120.934
83,30,5859,45.0,86.343
84,31,5044,45.0,76.302
85,31,30,45.0,84.771
86,31,9450,45.0,96.247
87,32,8635,45.0,154.304
88,32,3221,45.0,87.51799999999999
89,32,4334,45.0,124.84100000000004
90,33,8635,45.0,11.125
91,33,5655,45.0,189.385
92,33,34,45.0,34.089
93,34,35,45.0,189.76500000000001
94,34,5885,45.0,285.762
95,34,33,45.0,34.089
96,35,34,45.0,189.765
97,36,37,45.0,207.334
98,36,5354,45.0,93.826
99,36,5885,45.0,97.237
100,37,36,45.0,207.334
101,37,1489,45.0,159.245
102,37,8955,45.0,6.888999999999999
103,38,38,45.0,69.604
104,38,541,45.0,94.23499999999999
105,38,542,45.0,94.42200000000001
106,38,39,45.0,207.301
107,39,40,45.0,208.047
108,39,38,45.0,207.30100000000002
109,39,1211,45.0,94.452
110,39,1210,45.0,94.284
111,40,5351,45.0,94.48299999999999
112,40,6127,45.0,94.321
113,40,6810,45.0,207.38
114,40,39,45.0,208.047
115,41,2679,45.0,94.537
116,41,2678,45.0,94.414
117,41,42,45.0,208.226
118,41,6853,45.0,207.58
119,42,5847,45.0,94.46100000000001
120,42,5352,45.0,94.57300000000001
121,42,43,45.0,207.591
122,42,41,45.0,208.226
123,43,5353,45.0,94.595
124,43,6512,45.0,94.516
125,43,8832,45.0,208.025
126,43,42,45.0,207.591
127,44,45,45.0,82.576
128,45,44,45.0,82.576
129,45,46,45.0,81.807
130,45,5823,45.0,176.519
131,46,6474,45.0,27.467
132,46,45,45.0,81.807
133,46,5347,45.0,94.273
134,47,6926,45.0,10.056
135,47,2160,65.0,94.097
136,48,7672,45.0,200.62
137,48,6926,45.0,204.514
138,48,5348,45.0,94.23100000000001
139,48,6094,45.0,94.363
140,49,5349,45.0,94.271
141,49,6513,45.0,94.331
142,49,50,45.0,207.873
143,49,7070,45.0,200.59
144,50,51,45.0,207.617
145,50,49,45.0,207.873
146,50,1024,45.0,94.33699999999999
147,50,1023,45.0,94.281
148,51,8940,45.0,94.398
149,51,8937,45.0,94.221
150,51,50,45.0,207.617
151,51,52,45.0,135.21200000000002
152,52,401,45.0,97.71600000000001
153,52,51,45.0,135.212
154,53,54,35.0,20.928
155,54,53,35.0,20.928
156,54,55,45.0,68.857
157,55,3593,45.0,94.178
158,56,57,45.0,57.474000000000004
159,56,2740,45.0,224.157
160,56,9549,45.0,175.539
161,57,58,45.0,8.831
162,57,3954,45.0,55.773
163,57,56,45.0,57.474000000000004
164,58,57,45.0,8.831
165,59,5322,45.0,405.21500000000003
166,59,60,45.0,650.4780000000001
167,59,89,45.0,1533.4920000000002
168,60,7714,45.0,9.805
169,60,59,45.0,650.4780000000001
170,60,23,45.0,207.23999999999998
171,61,23,45.0,87.99
172,61,62,45.0,14.886000000000001
173,62,1793,45.0,84.419
174,62,63,45.0,100.39999999999999
175,62,9182,45.0,55.723
176,62,61,45.0,14.886
177,63,64,45.0,206.455
178,63,62,45.0,100.39999999999999
179,63,806,45.0,85.5
180,64,63,45.0,206.455
181,64,6979,45.0,118.999
182,64,6187,45.0,84.77199999999999
183,64,2596,45.0,87.169
184,65,5584,45.0,247.85999999999999
185,65,5724,45.0,36.792
186,65,7897,45.0,90.71199999999999
187,65,7896,45.0,60.331
188,66,5591,45.0,80.9
189,66,5338,45.0,81.69800000000001
190,66,8236,45.0,154.925
191,67,5337,45.0,81.79799999999999
192,67,66,45.0,140.45900000000003
193,67,900,45.0,277.526
194,67,6277,45.0,80.526
195,68,6359,45.0,81.187
196,68,69,45.0,302.46000000000004
197,68,184,45.0,33.396
198,69,68,45.0,302.46
199,70,7114,45.0,38.815
200,70,4070,45.0,119.92
201,70,2963,45.0,394.605
202,70,71,45.0,117.309
203,71,5054,45.0,62.866
204,71,72,45.0,76.178
205,71,70,45.0,117.309
206,71,5053,45.0,118.099
207,72,8603,45.0,76.039
208,72,8603,45.0,304.696
209,72,71,45.0,76.178
210,72,4119,45.0,129.321
211,73,755,45.0,53.588
212,73,8605,45.0,77.197
213,73,74,45.0,76.037
214,74,73,45.0,76.037
215,74,75,45.0,85.197
216,75,7815,45.0,12.101
217,75,7816,45.0,33.325
218,75,190,45.0,115.083
219,76,7161,45.0,10.724
220,76,77,45.0,77.529
221,76,2150,45.0,33.232
222,77,7162,45.0,12.046
223,77,4141,45.0,33.43
224,77,8356,45.0,76.204
225,78,7163,45.0,7.394
226,78,8144,45.0,249.37799999999996
227,79,80,45.0,220.964
228,79,83,45.0,149.588
229,79,4880,45.0,100.571
230,79,8604,45.0,12.877
231,80,8427,45.0,83.52499999999999
232,80,79,45.0,220.964
233,80,7023,45.0,262.19499999999994
234,81,3946,45.0,74.028
235,82,257,65.0,793.3170000000001
236,82,146,65.0,398.0079999999999
237,83,7638,45.0,31.413
238,83,7163,45.0,158.179
239,84,85,45.0,203.52200000000002
240,84,5075,45.0,67.88300000000001
241,85,84,45.0,203.52200000000002
242,85,3201,45.0,140.942
243,85,4998,65.0,78.809
244,85,7703,65.0,79.891
245,86,9639,45.0,212.133
246,87,9639,45.0,85.709
247,87,5043,45.0,202.181
248,87,5042,45.0,206.957
249,88,7732,35.0,187.603
250,89,9243,45.0,82.63
251,89,2324,45.0,60.589999999999996
252,89,59,45.0,1533.492
253,90,9247,45.0,87.019
254,90,9243,45.0,87.941
255,90,9246,45.0,54.406
256,91,92,45.0,366.9530000000001
257,91,2825,45.0,147.291
258,91,2826,45.0,318.338
259,92,91,45.0,366.953
260,92,8689,45.0,283.761
261,92,2826,45.0,43.828
262,93,7826,65.0,14.838999999999999
263,93,6030,45.0,109.443
264,94,4086,45.0,115.98
265,94,5991,45.0,85.145
266,94,8428,45.0,113.502
267,94,6965,45.0,95.792
268,95,5035,45.0,29.009
269,95,96,45.0,36.916
270,95,3032,45.0,69.894
271,96,95,45.0,36.916
272,97,207,65.0,363.31999999999994
273,97,6571,65.0,835.226
274,98,207,45.0,271.39099999999996
275,98,6571,65.0,791.424
276,98,641,45.0,67.005
277,98,118,45.0,191.964
278,99,7763,45.0,51.252
279,99,2196,45.0,52.097
280,99,2912,65.0,142.623
281,100,7290,65.0,15.040999999999999
282,100,8270,65.0,84.72200000000001
283,101,5253,45.0,28.636
284,102,7877,65.0,203.56699999999998
285,103,8063,45.0,31.32
286,103,2368,45.0,230.95900000000003
287,103,8669,45.0,450.4259999999999
288,103,2752,45.0,242.877
289,104,3382,45.0,47.173
290,104,6716,45.0,154.44600000000003
291,105,9261,45.0,73.316
292,105,9105,45.0,114.97699999999999
293,105,7941,65.0,227.01600000000002
294,106,8052,65.0,64.065
295,107,9287,45.0,18.578
296,107,2980,45.0,77.56700000000001
297,108,129,45.0,119.462
298,108,7470,65.0,142.925
299,109,110,65.0,86.547
300,110,6779,65.0,23.369
301,110,6081,45.0,95.306
302,111,6238,45.0,100.10799999999999
303,111,199,65.0,34.385000000000005
304,112,3985,65.0,141.71800000000002
305,113,112,65.0,301.961
306,113,5809,65.0,215.715
307,114,5810,65.0,108.57999999999998
308,115,114,65.0,201.75199999999995
309,115,6780,65.0,232.27200000000005
310,116,115,65.0,184.50900000000001
311,116,117,65.0,209.928
312,117,5809,65.0,129.61399999999998
313,117,7919,65.0,123.47699999999999
314,118,98,45.0,191.96399999999997
315,118,3588,45.0,66.727
316,118,4240,45.0,68.162
317,119,118,65.0,636.9010000000001
318,119,8028,65.0,681.798
319,120,8003,45.0,83.074
320,120,6079,45.0,69.657
321,120,744,45.0,239.45100000000002
322,121,5461,45.0,266.759
323,121,6953,45.0,21.070999999999998
324,121,5460,45.0,196.32399999999998
325,122,2096,45.0,84.511
326,122,7718,45.0,75.084
327,122,5330,45.0,142.689
328,122,5329,45.0,132.239
329,123,124,65.0,98.319
330,123,225,65.0,129.491
331,124,9179,65.0,137.699
332,125,727,35.0,40.409
333,125,719,45.0,159.184
334,125,4787,35.0,62.862
335,126,2615,45.0,75.678
336,126,2622,45.0,49.233999999999995
337,126,127,35.0,33.573
338,126,2623,35.0,26.476
339,127,7599,35.0,27.15
340,127,126,35.0,33.573
341,128,129,65.0,238.83100000000002
342,128,7470,65.0,100.70100000000001
343,129,570,45.0,24.425
344,130,7496,65.0,40.13000000000001
345,130,2958,65.0,57.632999999999996
346,130,5587,65.0,50.24099999999999
347,131,7158,65.0,225.71599999999998
348,131,206,65.0,409.462
349,132,133,65.0,40.67300000000001
350,132,9656,65.0,34.629000000000005
351,133,134,65.0,63.414
352,133,2746,45.0,271.50500000000005
353,133,7391,35.0,200.04199999999997
354,134,8158,65.0,305.942
355,135,3294,65.0,66.141
356,136,7390,65.0,10.852
357,136,7391,35.0,104.21
358,137,138,65.0,117.39
359,137,139,65.0,124.68300000000002
360,138,607,65.0,53.769
361,138,139,45.0,68.226
362,139,2083,45.0,107.551
363,140,97,65.0,289.27
364,141,4662,45.0,60.174
365,142,7495,65.0,133.96800000000002
366,142,235,65.0,169.22699999999998
367,143,8028,65.0,371.83700000000005
368,143,9719,45.0,69.34100000000001
369,143,118,45.0,276.155
370,143,5006,45.0,65.157
371,144,7402,45.0,81.803
372,144,1758,65.0,84.749
373,145,144,65.0,155.48499999999999
374,146,7692,45.0,12.525
375,146,3319,45.0,34.799
376,146,8476,45.0,68.299
377,147,148,65.0,368.808
378,147,4983,65.0,210.812
379,148,9666,45.0,45.795
380,148,7161,45.0,111.005
381,149,5000,65.0,159.61
382,149,8605,45.0,131.65900000000002
383,150,3408,45.0,103.425
384,151,1536,45.0,58.553
385,151,2148,45.0,107.75
386,151,1334,45.0,20.007
387,152,7523,45.0,248.321
388,153,152,35.0,230.43600000000004
389,153,205,45.0,100.077
390,154,155,65.0,81.293
391,154,251,65.0,75.574
392,155,156,65.0,127.491
393,156,7881,65.0,1713.465
394,157,7456,45.0,46.882000000000005
395,157,13,45.0,206.74599999999998
396,157,11,45.0,115.935
397,158,159,45.0,41.623000000000005
398,158,3283,45.0,401.0320000000001
399,159,158,45.0,85.36300000000001
400,159,2756,45.0,263.689
401,160,161,65.0,326.669
402,160,156,65.0,650.396
403,161,250,65.0,50.70399999999999
404,161,162,65.0,75.515
405,162,4156,45.0,154.52300000000002
406,162,250,45.0,63.708999999999996
407,163,7429,45.0,41.787
408,163,494,45.0,85.989
409,163,9780,45.0,24.003
410,164,513,35.0,74.623
411,164,7430,35.0,182.863
412,165,166,65.0,359.591
413,165,169,65.0,668.585
414,166,247,65.0,108.42000000000002
415,166,167,65.0,60.383
416,167,248,45.0,52.026
417,167,4153,45.0,58.425999999999995
418,168,169,65.0,385.82399999999996
419,168,652,45.0,50.772000000000006
420,168,514,45.0,61.144999999999996
421,169,160,65.0,487.4990000000001
422,170,7512,65.0,435.66
423,170,171,65.0,318.93700000000007
424,171,3595,45.0,193.402
425,171,8517,45.0,191.68400000000003
426,172,611,45.0,74.531
427,172,6211,45.0,177.652
428,172,7511,65.0,523.625
429,173,2730,65.0,92.524
430,174,5584,65.0,235.499
431,175,2750,45.0,200.66899999999995
432,175,8595,45.0,230.89199999999997
433,175,2456,45.0,130.497
434,176,9179,65.0,300.787
435,176,3985,65.0,967.8349999999999
436,177,7814,65.0,24.661
437,177,178,65.0,47.478
438,178,114,65.0,123.925
439,178,5581,65.0,167.046
440,179,9090,45.0,188.49899999999997
441,180,6953,65.0,90.333
442,181,179,45.0,120.954
443,181,180,65.0,228.98999999999998
444,182,5252,65.0,333.59299999999996
445,182,100,65.0,757.7460000000002
446,183,7888,65.0,359.2360000000001
447,183,7891,65.0,167.556
448,184,5714,45.0,202.317
449,184,1805,45.0,130.296
450,184,68,45.0,33.396
451,185,135,65.0,40.628
452,185,7390,35.0,24.035
453,186,8676,35.0,15.828
454,186,187,35.0,592.984
455,186,8680,35.0,228.73799999999997
456,187,188,35.0,106.657
457,187,8670,35.0,65.97
458,187,186,35.0,592.9839999999999
459,187,2620,35.0,108.885
460,188,187,35.0,106.657
461,188,8682,35.0,169.184
462,188,189,35.0,361.195
463,188,8669,35.0,30.197
464,189,8063,35.0,121.715
465,189,8680,35.0,190.78700000000003
466,189,188,35.0,361.195
467,190,1536,45.0,110.524
468,190,4653,45.0,97.78699999999999
469,190,382,45.0,219.363
470,190,75,45.0,115.083
471,191,9233,45.0,89.517
472,191,9269,45.0,76.483
473,191,939,45.0,268.843
474,192,193,65.0,217.99099999999999
475,192,261,65.0,899.946
476,193,194,65.0,271.711
477,193,7150,65.0,400.34100000000007
478,194,5438,45.0,54.884
479,195,7151,65.0,8.973
480,195,9446,65.0,105.04599999999999
481,196,9491,65.0,121.44800000000001
482,197,9797,65.0,629.576
483,198,197,65.0,237.73600000000002
484,199,198,65.0,164.96
485,199,5580,65.0,52.119
486,200,201,65.0,456.2080000000001
487,200,3861,65.0,1388.2749999999996
488,201,4997,65.0,46.536
489,202,203,35.0,134.34900000000002
490,202,7179,45.0,315.379
491,203,204,45.0,49.017
492,204,205,35.0,148.727
493,204,152,45.0,141.19
494,205,7785,45.0,132.293
495,206,4765,65.0,88.64699999999999
496,207,9355,45.0,15.812999999999999
497,207,638,45.0,72.542
498,208,3716,45.0,52.252
499,208,7763,45.0,54.021
500,208,842,65.0,146.149
501,209,1963,45.0,39.798
502,210,8902,45.0,145.512
503,210,1271,45.0,154.58599999999998
504,211,6933,45.0,13.576
505,211,558,45.0,207.80200000000002
506,211,1271,45.0,40.227000000000004
507,212,6898,45.0,111.488
508,213,4533,45.0,266.497
509,213,112,65.0,447.52000000000004
510,214,9226,45.0,146.48499999999999
511,214,5893,45.0,53.037
512,215,6780,65.0,215.42399999999998
513,215,198,65.0,180.292
514,216,3584,45.0,217.63799999999998
515,216,7450,45.0,103.33200000000001
516,216,7938,45.0,193.077
517,217,4764,65.0,890.3230000000003
518,217,4765,65.0,1070.7060000000001
519,218,223,65.0,536.913
520,219,7343,45.0,26.646
521,219,5140,45.0,26.714
522,219,8315,35.0,110.24299999999998
523,220,8724,45.0,257.453
524,221,7078,65.0,31.964
525,221,7701,45.0,21.387
526,222,5841,45.0,237.72699999999998
527,222,7550,65.0,75.494
528,223,7777,65.0,314.659
529,224,4135,45.0,269.85
