osmid,y,x,node_id
32927563,37.7859523,-122.390985,1
32927591,37.7313533,-122.4241236,2
32927645,37.7327065,-122.4132611,3
33241803,37.8050417,-122.4034504,4
33242031,37.7990541,-122.4164837,5
54891208,37.7705805,-122.3911917,6
54891395,37.7695721,-122.3927659,7
54891397,37.7696737,-122.3911048,8
54891446,37.7711091,-122.3894111,9
54891461,37.771278,-122.3866019,10
54891483,37.7708625,-122.3864767,11
54891501,37.7690188,-122.3863311,12
54891569,37.7689303,-122.3876163,13
65279851,37.8053702,-122.4118788,14
65279852,37.8051503,-122.413529,15
65279860,37.723583,-122.386139,16
65279862,37.72304,-122.386628,17
65279877,37.7212302,-122.388419,18
65279891,37.7199375,-122.3894613,19
65279893,37.719298,-122.39002,20
65279895,37.718688,-122.390564,21
65279896,37.7180602,-122.391135,22
65279897,37.7175125,-122.391593,23
65279910,37.728678,-122.381564,24
65279912,37.728051,-122.382126,25
65279914,37.727425,-122.382687,26
65279916,37.726798,-122.383248,27
65279918,37.726171,-122.38381,28
65279929,37.7250218,-122.3851264,29
65279961,37.7335986,-122.3770005,30
65279965,37.73307,-122.377649,31
65279971,37.752212,-122.4687333,32
65280002,37.7508087,-122.4690178,33
65280018,37.7508352,-122.4686316,34
65280040,37.7492161,-122.4685327,35
65280044,37.7489418,-122.4684993,36
65280050,37.74708,-122.4683702,37
65280069,37.7863889,-122.4711296,38
65280072,37.7845276,-122.4709958,39
65280073,37.7826596,-122.4708615,40
65280076,37.778812,-122.4705849,41
65280083,37.7769424,-122.4704505,42
65280086,37.7750785,-122.4703166,43
65280094,37.7448686,-122.4682103,44
65280097,37.744127,-122.4681611,45
65280099,37.7433923,-122.4681124,46
65280104,37.7658342,-122.4696804,47
65280106,37.7639075,-122.469545,48
65280110,37.7601763,-122.4692852,49
65280114,37.7583097,-122.4691548,50
65280116,37.7564454,-122.4690246,51
65280118,37.7552316,-122.4689545,52
65280134,37.7749327,-122.4084965,53
65280136,37.7747987,-122.4083293,54
65280138,37.7743588,-122.4077779,55
65280154,37.7906893,-122.4815695,56
65280157,37.790563,-122.4809354,57
65280159,37.7906099,-122.4808543,58
65280184,37.7111539,-122.3864495,59
65280284,37.7161347,-122.3900339,60
65280289,37.7178997,-122.3924653,61
65280292,37.7179691,-122.39261,62
65280295,37.718487,-122.393545,63
65280297,37.7195594,-122.3954611,64
65280302,37.7206065,-122.397309,65
65280323,37.7204823,-122.4501293,66
65280326,37.7193559,-122.450852,67
65280347,37.7965829,-122.4562632,68
65280373,37.7941248,-122.4576569,69
65280377,37.7336837,-122.426389,70
65280380,37.733566,-122.4277144,71
65280384,37.7334845,-122.4285745,72
65280393,37.73318,-122.4311489,73
65280398,37.7330011,-122.4319773,74
65280425,37.7333561,-122.4328258,75
65280432,37.7336038,-122.4341379,76
65280438,37.7337754,-122.4349924,77
65280452,37.7340737,-122.4366692,78
65280473,37.7348747,-122.4399937,79
65280488,37.7359776,-122.4419063,80
65280502,37.7316437,-122.4316897,81
65280506,37.7322495,-122.432147,82
65280576,37.7343496,-122.438435,83
65280632,37.708354,-122.455928,84
65280635,37.709549,-122.4576804,85
65280672,37.733143,-122.3719647,86
65280694,37.7309563,-122.3739205,87
65280709,37.7266122,-122.3779849,88
65280738,37.7171906,-122.3863094,89
65280743,37.7184431,-122.3851901,90
65280798,37.7511437,-122.4500385,91
65280835,37.7541308,-122.4495919,92
65280848,37.7445991,-122.4535131,93
65280850,37.7438716,-122.4526894,94
65280896,37.7644163,-122.4301235,95
65280905,37.7640853,-122.430091,96
65281061,37.7778393,-122.4016133,97
65281097,37.7778095,-122.400319,98
65281164,37.7746045,-122.4259102,99
65281218,37.7718656,-122.423325,100
65281253,37.7703896,-122.4198591,101
65281270,37.7391115,-122.4080303,102
65281338,37.7996087,-122.467236,103
65281401,37.719809,-122.474293,104
65281429,37.7852059,-122.3940468,105
65281511,37.712886,-122.432678,106
65281514,37.7127244,-122.4330165,107
65281547,37.7332051,-122.4939058,108
65281576,37.7491621,-122.4055609,109
65281580,37.748957,-122.4065082,110
65281582,37.7487187,-122.4067512,111
65281615,37.7520812,-122.4027136,112
65281639,37.7495355,-122.4029714,113
65281709,37.7490088,-122.4035409,114
65281745,37.7498639,-122.4038924,115
65281752,37.7514659,-122.4033474,116
65281874,37.7496784,-122.40411,117
65281916,37.7790353,-122.401857,118
65281944,37.7823664,-122.3963904,119
65282059,37.7175065,-122.4743876,120
65282123,37.7337798,-122.491574,121
65282185,37.768536,-122.4048807,122
65282190,37.7463266,-122.4043129,123
65282200,37.7460665,-122.4038324,124
65282263,37.7431804,-122.3967418,125
65282272,37.8000521,-122.460801,126
65282319,37.7999664,-122.4611674,127
